tconst	parentTconst	seasonNumber	episodeNumber
tt10054620	tt10003494	\N	\N
tt10187144	tt0188360	\N	\N
tt10681888	tt0400059	\N	\N
tt10681894	tt0400059	\N	\N
tt11777708	tt0188360	\N	\N
tt12104396	tt0400059	1	1
tt13411478	tt0400059	\N	\N
tt13977540	tt0188360	\N	\N
tt15362080	tt0400059	\N	\N
tt16979830	tt0400059	\N	\N
tt16979890	tt0400059	\N	\N
tt16979990	tt0400059	\N	\N
tt16980416	tt0400059	\N	\N
tt16980488	tt0400059	\N	\N
tt16980594	tt0400059	\N	\N
tt16980714	tt0400059	\N	\N
tt17044854	tt0400059	\N	\N
tt17523590	tt0400059	\N	\N
tt17523792	tt0400059	\N	\N
tt19733746	tt0188360	\N	\N
tt22376118	tt0400059	\N	\N
tt22376246	tt0400059	\N	\N
tt22376300	tt0400059	\N	\N
tt22376360	tt0400059	\N	\N
tt22376442	tt0400059	\N	\N
tt22376456	tt0400059	\N	\N
tt22376494	tt0400059	\N	\N
tt22376504	tt0400059	\N	\N
tt22376524	tt0400059	\N	\N
tt22376572	tt0400059	\N	\N
tt22376622	tt0400059	\N	\N
tt22742702	tt0400059	\N	\N
tt27423643	tt0188360	\N	\N
tt27578287	tt0400059	\N	\N
tt27622484	tt0383158	1	1
tt27622517	tt0383158	1	37
tt27622535	tt0383158	3	19
tt27622672	tt0383158	\N	\N
tt27630182	tt0383158	1	2
tt27630347	tt0383158	3	70
tt27630839	tt0383158	2	8
tt27636969	tt0383158	1	3
tt27636983	tt0383158	2	10
tt27636988	tt0383158	2	11
tt27638041	tt0383158	1	7
tt27638049	tt0383158	1	25
tt27642301	tt0383158	1	27
tt27642308	tt0383158	1	29
tt27642342	tt0383158	2	1
tt27643804	tt0383158	1	4
tt27643811	tt0383158	1	8
tt27644011	tt0383158	1	32
tt27644149	tt0383158	1	35
tt27644201	tt0383158	1	36
tt28450006	tt0400059	\N	\N
tt30310119	tt0400059	\N	\N
tt31458981	tt0188360	\N	\N
tt31474291	tt0188360	\N	\N
tt31474305	tt0188360	\N	\N
tt4604054	tt0188360	\N	\N
tt5429214	tt0188360	\N	\N
tt6546438	tt0188360	\N	\N
tt8222870	tt0400059	\N	\N
tt8255544	tt0400059	\N	\N
tt8255684	tt0400059	\N	\N
tt8255776	tt0400059	\N	\N
tt8259628	tt0400059	\N	\N
tt8259630	tt0400059	\N	\N
tt8259666	tt0400059	\N	\N
tt8259670	tt0400059	\N	\N
tt8332826	tt0188360	\N	\N
tt9051882	tt0400059	\N	\N
